Name,Time,Cumulative PnL
TestInstance,2022-Jan-25 18:24:06.803001,4322.742800
TestInstance,2022-Jan-25 18:25:42.725558,4278.312800
TestInstance,2022-Jan-25 18:27:11.876940,4989.192800
TestInstance,2022-Jan-25 18:28:28.032392,5626.022800
TestInstance,2022-Jan-25 18:29:32.745211,6011.082800
TestInstance,2022-Jan-25 18:31:44.189897,5833.362800
TestInstance,2022-Jan-25 18:32:57.251330,6559.052800
TestInstance,2022-Jan-25 18:35:01.477995,6410.952800
TestInstance,2022-Jan-25 18:37:08.078265,6055.512800
TestInstance,2022-Jan-25 18:38:08.188822,6366.522800
TestInstance,2022-Jan-25 18:39:21.031450,6559.052800
TestInstance,2022-Jan-25 18:40:31.138612,6870.062800
TestInstance,2022-Jan-25 18:41:54.372075,6544.242800
TestInstance,2022-Jan-25 18:43:03.343735,6796.012800
TestInstance,2022-Jan-25 18:45:07.780349,6855.252800
TestInstance,2022-Jan-25 18:46:33.914482,7151.452800
TestInstance,2022-Jan-25 18:47:37.741647,6825.632800
TestInstance,2022-Jan-25 18:49:32.982875,7595.752800
TestInstance,2022-Jan-25 18:50:48.296883,8084.482800
TestInstance,2022-Jan-25 18:51:56.299812,7973.407800
TestInstance,2022-Jan-25 18:53:24.589966,8291.822800
TestInstance,2022-Jan-25 18:54:32.949500,7936.382800
TestInstance,2022-Jan-25 18:55:56.952441,8454.732800
TestInstance,2022-Jan-25 18:57:20.954931,8173.342800
TestInstance,2022-Jan-25 18:58:25.544591,8439.922800
TestInstance,2022-Jan-25 19:00:26.430606,8573.212800
TestInstance,2022-Jan-25 19:01:49.013057,8602.832800
TestInstance,2022-Jan-25 19:03:15.202100,8543.592800
TestInstance,2022-Jan-25 19:04:31.136059,7788.282800
TestInstance,2022-Jan-25 19:05:49.314422,7854.927800
TestInstance,2022-Jan-25 19:07:03.158956,7773.472800
TestInstance,2022-Jan-25 19:10:49.136046,8128.912800
TestInstance,2022-Jan-25 19:12:07.909053,8691.692800
TestInstance,2022-Jan-25 19:13:09.208003,8943.462800
TestInstance,2022-Jan-25 19:14:21.003646,9461.812800
TestInstance,2022-Jan-25 19:15:25.631168,9180.422800
TestInstance,2022-Jan-25 19:17:49.567629,9506.242800
TestInstance,2022-Jan-25 19:19:27.734752,9343.332800
TestInstance,2022-Jan-25 19:20:45.617796,9580.292800
TestInstance,2022-Jan-25 19:22:08.434196,9595.102800
TestInstance,2022-Jan-25 19:23:43.301253,9846.872800
TestInstance,2022-Jan-25 19:24:51.882555,9580.292800
TestInstance,2022-Jan-25 19:26:01.564423,9047.132800
TestInstance,2022-Jan-25 19:27:23.672410,8965.677800
TestInstance,2022-Jan-25 19:28:29.289122,9402.572800
TestInstance,2022-Jan-25 19:29:34.791237,9284.092800
TestInstance,2022-Jan-25 19:31:01.718086,9669.152800
TestInstance,2022-Jan-25 19:32:09.528982,9565.482800
TestInstance,2022-Jan-25 19:34:04.690930,9002.702800
TestInstance,2022-Jan-25 19:35:15.753910,8247.392800
TestInstance,2022-Jan-25 19:36:32.463495,8795.362800
TestInstance,2022-Jan-25 19:38:08.516379,8928.652800
TestInstance,2022-Jan-25 19:39:19.912240,9106.372800
TestInstance,2022-Jan-25 19:40:32.933773,9654.342800
TestInstance,2022-Jan-25 19:41:42.079166,9935.732800
TestInstance,2022-Jan-25 19:42:51.331969,10513.322800
TestInstance,2022-Jan-25 19:43:51.855561,10676.232800
TestInstance,2022-Jan-25 19:45:14.665684,10824.332800
TestInstance,2022-Jan-25 19:46:20.571416,11009.457800
TestInstance,2022-Jan-25 19:47:33.362990,11046.482800
TestInstance,2022-Jan-25 19:48:47.781213,10987.242800
TestInstance,2022-Jan-25 19:49:54.154906,10928.002800
TestInstance,2022-Jan-25 19:50:54.273355,10883.572800
TestInstance,2022-Jan-25 19:52:18.508028,11002.052800
TestInstance,2022-Jan-25 19:53:20.883456,11239.012800
TestInstance,2022-Jan-25 19:54:32.936059,11416.732800
TestInstance,2022-Jan-25 19:55:42.492209,11224.202800
TestInstance,2022-Jan-25 19:57:02.605875,11772.172800
TestInstance,2022-Jan-25 19:58:11.375321,12305.332800
TestInstance,2022-Jan-25 19:59:14.481555,12097.992800
TestInstance,2022-Jan-25 20:00:22.732487,12305.332800
TestInstance,2022-Jan-25 20:01:31.754435,11520.402800
TestInstance,2022-Jan-25 20:02:40.583558,11179.772800
TestInstance,2022-Jan-25 20:03:41.732941,11239.012800
TestInstance,2022-Jan-25 20:04:52.130786,11283.442800
TestInstance,2022-Jan-25 20:06:10.508969,11031.672800
TestInstance,2022-Jan-25 20:08:16.997790,10320.792800
TestInstance,2022-Jan-25 20:11:07.272158,10276.362800
TestInstance,2022-Jan-25 20:12:45.044029,9758.012800
TestInstance,2022-Jan-25 20:14:37.301329,9758.012800
TestInstance,2022-Jan-25 20:16:04.336647,9957.947800
TestInstance,2022-Jan-25 20:17:54.930737,10113.452800
TestInstance,2022-Jan-25 20:22:39.278330,10676.232800
TestInstance,2022-Jan-25 20:26:42.913102,10513.322800
TestInstance,2022-Jan-25 20:28:23.894087,9002.702800
TestInstance,2022-Jan-25 20:31:23.897640,8410.302800
TestInstance,2022-Jan-25 20:33:50.414654,7862.332800
TestInstance,2022-Jan-25 20:35:37.250382,7736.447800
TestInstance,2022-Jan-25 20:37:08.041875,7743.852800
TestInstance,2022-Jan-25 20:38:22.186781,8558.402800
TestInstance,2022-Jan-25 20:39:29.076519,8602.832800
TestInstance,2022-Jan-25 20:40:34.252363,9210.042800
TestInstance,2022-Jan-25 20:41:35.042189,9328.522800
TestInstance,2022-Jan-25 20:42:44.233798,9017.512800
TestInstance,2022-Jan-25 20:43:51.011928,8669.477800
TestInstance,2022-Jan-25 20:45:03.232675,8928.652800
TestInstance,2022-Jan-25 20:46:17.185605,9106.372800
TestInstance,2022-Jan-25 20:47:20.890479,8943.462800
TestInstance,2022-Jan-25 20:48:52.211325,9121.182800
TestInstance,2022-Jan-25 20:50:06.640126,8084.482800
TestInstance,2022-Jan-25 20:51:22.744431,7803.092800
TestInstance,2022-Jan-25 20:52:46.494099,7699.422800
TestInstance,2022-Jan-25 20:54:06.784851,7255.122800
TestInstance,2022-Jan-25 20:55:07.562354,7580.942800
TestInstance,2022-Jan-25 20:56:26.762290,7751.257800
TestInstance,2022-Jan-25 20:57:30.679243,8128.912800
TestInstance,2022-Jan-25 20:58:41.144448,8521.377800
TestInstance,2022-Jan-25 20:59:56.842543,8062.267800
TestInstance,2022-Jan-26 05:00:00,8017.837800
